DATE,STLFSI2
1993-12-31,-0.3808
1994-01-07,-0.4927
1994-01-14,-0.2066
1994-01-21,-0.4684
1994-01-28,-0.3129
1994-02-04,-0.6822
1994-02-11,-0.4449
1994-02-18,-0.4292
1994-02-25,-0.3942
1994-03-04,-0.3227
1994-03-11,-0.3205
1994-03-18,-0.2341
1994-03-25,-0.2944
1994-04-01,-0.1754
1994-04-08,-0.1676
1994-04-15,-0.0652
1994-04-22,-0.2236
1994-04-29,-0.1462
1994-05-06,-0.4555
1994-05-13,-0.1284
1994-05-20,-0.0490
1994-05-27,-0.2440
1994-06-03,-0.0689
1994-06-10,0.0192
1994-06-17,-0.2335
1994-06-24,-0.1327
1994-07-01,-0.1107
1994-07-08,0.0262
1994-07-15,-0.0922
1994-07-22,-0.0957
1994-07-29,-0.2630
1994-08-05,-0.1619
1994-08-12,-0.3507
1994-08-19,-0.4127
1994-08-26,-0.3822
1994-09-02,-0.2492
1994-09-09,-0.3534
1994-09-16,-0.3433
1994-09-23,-0.3994
1994-09-30,-0.1667
1994-10-07,-0.1885
1994-10-14,0.0690
1994-10-21,-0.1454
1994-10-28,-0.1972
1994-11-04,-0.1783
1994-11-11,-0.2589
1994-11-18,-0.4494
1994-11-25,-0.1848
1994-12-02,-0.1834
1994-12-09,-0.1626
1994-12-16,-0.1544
1994-12-23,-0.0334
1994-12-30,0.1563
1995-01-06,-0.2023
1995-01-13,0.0223
1995-01-20,-0.3556
1995-01-27,-0.3591
1995-02-03,-0.3873
1995-02-10,-0.4926
1995-02-17,-0.2239
1995-02-24,-0.2486
1995-03-03,-0.2149
1995-03-10,-0.1315
1995-03-17,-0.2305
1995-03-24,-0.3811
1995-03-31,-0.4688
1995-04-07,-0.3215
1995-04-14,-0.2610
1995-04-21,-0.2057
1995-04-28,-0.4687
1995-05-05,-0.2989
1995-05-12,-0.1834
1995-05-19,-0.4194
1995-05-26,-0.3840
1995-06-02,-0.0711
1995-06-09,-0.2540
1995-06-16,-0.1423
1995-06-23,-0.1192
1995-06-30,-0.2557
1995-07-07,-0.2543
1995-07-14,-0.1542
1995-07-21,-0.5146
1995-07-28,-0.3204
1995-08-04,-0.2824
1995-08-11,-0.3026
1995-08-18,-0.4168
1995-08-25,-0.2308
1995-09-01,-0.1190
1995-09-08,-0.2383
1995-09-15,-0.3326
1995-09-22,-0.2657
1995-09-29,-0.3823
1995-10-06,-0.0167
1995-10-13,-0.1836
1995-10-20,-0.1379
1995-10-27,-0.0731
1995-11-03,-0.1605
1995-11-10,-0.3482
1995-11-17,-0.3581
1995-11-24,-0.4983
1995-12-01,-0.3181
1995-12-08,-0.4103
1995-12-15,-0.4169
1995-12-22,-0.2340
1995-12-29,0.0544
1996-01-05,-0.4574
1996-01-12,-0.1961
1996-01-19,-0.1877
1996-01-26,-0.4101
1996-02-02,-0.4021
1996-02-09,-0.2931
1996-02-16,-0.2907
1996-02-23,-0.5402
1996-03-01,-0.4947
1996-03-08,-0.1056
1996-03-15,-0.3279
1996-03-22,-0.1947
1996-03-29,-0.1509
1996-04-05,-0.1756
1996-04-12,-0.1022
1996-04-19,0.0819
1996-04-26,-0.2166
1996-05-03,-0.2331
1996-05-10,-0.1367
1996-05-17,-0.2024
1996-05-24,-0.2848
1996-05-31,-0.3523
1996-06-07,-0.2821
1996-06-14,-0.2319
1996-06-21,-0.2391
1996-06-28,-0.0498
1996-07-05,-0.4748
1996-07-12,0.0144
1996-07-19,0.0055
1996-07-26,-0.1395
1996-08-02,-0.2175
1996-08-09,0.1312
1996-08-16,-0.3029
1996-08-23,-0.3334
1996-08-30,-0.4072
1996-09-06,-0.2352
1996-09-13,-0.1627
1996-09-20,-0.2066
1996-09-27,-0.0315
1996-10-04,-0.0042
1996-10-11,-0.0556
1996-10-18,-0.1420
1996-10-25,-0.2022
1996-11-01,-0.0839
1996-11-08,-0.2731
1996-11-15,-0.2549
1996-11-22,-0.3518
1996-11-29,-0.3182
1996-12-06,-0.1255
1996-12-13,0.0172
1996-12-20,-0.1210
1996-12-27,-0.0519
1997-01-03,-0.3982
1997-01-10,-0.1034
1997-01-17,-0.3103
1997-01-24,-0.3649
1997-01-31,-0.2640
1997-02-07,-0.2115
1997-02-14,-0.3310
1997-02-21,-0.4031
1997-02-28,-0.4613
1997-03-07,-0.2610
1997-03-14,-0.3343
1997-03-21,-0.3404
1997-03-28,-0.4340
1997-04-04,-0.0730
1997-04-11,-0.0458
1997-04-18,-0.2017
1997-04-25,-0.2155
1997-05-02,-0.2211
1997-05-09,-0.1340
1997-05-16,-0.1169
1997-05-23,-0.2071
1997-05-30,-0.1062
1997-06-06,0.0307
1997-06-13,-0.1224
1997-06-20,-0.0813
1997-06-27,0.0163
1997-07-04,-0.3212
1997-07-11,-0.0308
1997-07-18,-0.2479
1997-07-25,-0.2792
1997-08-01,-0.4091
1997-08-08,-0.3373
1997-08-15,-0.2498
1997-08-22,-0.2081
1997-08-29,-0.2410
1997-09-05,-0.1328
1997-09-12,-0.0894
1997-09-19,-0.0697
1997-09-26,0.0081
1997-10-03,-0.0462
1997-10-10,-0.1136
1997-10-17,-0.1057
1997-10-24,-0.0288
1997-10-31,0.7544
1997-11-07,-0.0477
1997-11-14,0.4044
1997-11-21,-0.0929
1997-11-28,-0.0485
1997-12-05,-0.2222
1997-12-12,0.0882
1997-12-19,0.0102
1997-12-26,0.1570
1998-01-02,-0.4790
